"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","key_type"
"ProjectPlannings","Id","integer",NULL,"NO",NULL,"PK"
"ProjectPlannings","RequirementsAnalysisId","integer",NULL,"NO",NULL,"PK"
"ProjectPlannings","PlanningId","text",NULL,"NO",NULL,""
"ProjectPlannings","Status","integer",NULL,"NO",NULL,""
"ProjectPlannings","Content","text",NULL,"NO",NULL,""
"ProjectPlannings","ReviewId","text",NULL,"NO",NULL,""
"ProjectPlannings","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"Projects","Id","integer",NULL,"NO",NULL,"PK"
"Projects","Name","text",NULL,"NO",NULL,""
"Projects","Description","text",NULL,"NO",NULL,""
"Projects","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"Projects","UpdatedDate","timestamp with time zone",NULL,"NO",NULL,""
"PromptGenerations","Id","integer",NULL,"NO",NULL,"PK"
"PromptGenerations","StoryGenerationId","integer",NULL,"NO",NULL,"PK"
"PromptGenerations","StoryIndex","integer",NULL,"NO",NULL,""
"PromptGenerations","PromptId","text",NULL,"NO",NULL,""
"PromptGenerations","Status","integer",NULL,"NO",NULL,""
"PromptGenerations","Content","text",NULL,"NO",NULL,""
"PromptGenerations","ReviewId","text",NULL,"NO",NULL,""
"PromptGenerations","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"RequirementsAnalyses","Id","integer",NULL,"NO",NULL,"PK"
"RequirementsAnalyses","ProjectId","integer",NULL,"NO",NULL,"PK"
"RequirementsAnalyses","AnalysisId","text",NULL,"NO",NULL,""
"RequirementsAnalyses","Status","integer",NULL,"NO",NULL,""
"RequirementsAnalyses","Content","text",NULL,"NO",NULL,""
"RequirementsAnalyses","ReviewId","text",NULL,"NO",NULL,""
"RequirementsAnalyses","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"Reviews","Id","integer",NULL,"NO",NULL,"PK"
"Reviews","ReviewId","uuid",NULL,"NO",NULL,""
"Reviews","Content","text",NULL,"NO",NULL,""
"Reviews","Status","integer",NULL,"NO",NULL,""
"Reviews","ServiceName","text",NULL,"NO",NULL,""
"Reviews","PipelineStage","text",NULL,"NO",NULL,""
"Reviews","Feedback","text",NULL,"NO",NULL,""
"Reviews","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"Reviews","UpdatedDate","timestamp with time zone",NULL,"NO",NULL,""
"Reviews","ProjectPlanningId","integer",NULL,"YES",NULL,"PK"
"Reviews","PromptGenerationId","integer",NULL,"YES",NULL,"PK"
"Reviews","RequirementsAnalysisId","integer",NULL,"YES",NULL,"PK"
"Reviews","StoryGenerationId","integer",NULL,"YES",NULL,"PK"
"StoryGenerations","Id","integer",NULL,"NO",NULL,"PK"
"StoryGenerations","ProjectPlanningId","integer",NULL,"NO",NULL,"PK"
"StoryGenerations","GenerationId","text",NULL,"NO",NULL,""
"StoryGenerations","Status","integer",NULL,"NO",NULL,""
"StoryGenerations","Content","text",NULL,"NO",NULL,""
"StoryGenerations","ReviewId","text",NULL,"NO",NULL,""
"StoryGenerations","CreatedDate","timestamp with time zone",NULL,"NO",NULL,""
"StoryGenerations","StoriesJson","text",NULL,"NO","''::text",""
"UserStories","Id","uuid",NULL,"NO",NULL,"PK"
"UserStories","Title","text",NULL,"NO",NULL,""
"UserStories","Description","text",NULL,"NO",NULL,""
"UserStories","AcceptanceCriteria","ARRAY",NULL,"NO",NULL,""
"UserStories","Priority","text",NULL,"NO",NULL,""
"UserStories","StoryPoints","integer",NULL,"YES",NULL,""
"UserStories","Tags","ARRAY",NULL,"NO",NULL,""
"UserStories","EstimatedComplexity","text",NULL,"YES",NULL,""
"UserStories","StoryGenerationId","integer",NULL,"NO","0","PK"
"UserStories","Status","integer",NULL,"NO","0",""
"__EFMigrationsHistory","MigrationId","character varying",150,"NO",NULL,"PK"
"__EFMigrationsHistory","ProductVersion","character varying",32,"NO",NULL,""
